監視する,monitor
液体,liquid
楽観的な,optimistic
保守的な,conservative
全体の,overall
牛,cattle
迅速な,prompt
配列し直す,rearrange
残念なこと,shame
船,vessel
崩壊,collapse
同時の,simultaneous
擁護する,advocate
イデオロギーの,ideological
予期する,anticipate
風変わりな,eccentric
革新,innovation
寸法,dimension
武装した,armed
年長の,senior
同等の,equivalent
油断のない,alert
墓,grave
計画,scheme
情熱,passion
合間,interval
割れる,crack
酸性の,acid
次の,subsequent
手続き,procedure
それにもかかわらず,nonetheless
新聞,journal
傾く,incline
噴火,eruption
借金,debt
おしゃべり,chat
罪,sin
提示,presentation
動機づける,motivate
干渉する,interfere
疲労,fatigue
分配する,distribute
相当するもの,counterpart
すばらしい,brilliant
著名な,prominent
子孫,offspring
瞑想,meditation
信じられない,incredible
引き出す,extract
方言,dialect
非難する,condemn
美的な,aesthetic
用法,usage
緊張,tension
同情的な,sympathetic
じっと見る,peer
荷,load
ものすごい,immense
事業,enterprise
捨てる,discard
用心深い,cautious
緊急時,emergency
蛇口,tap
犠牲,sacrifice
選択,option
呼び起こす,inspire
どう猛な,fierce
高める,enhance
変える,convert
懇願する,beg
ふき取る,wipe
そのために,thereby
徴候,symptom
儀式,rite
余白,margin
推論する,infer
誇張する,exaggerate
引き金となる,trigger
衝突,collision
知人,acquaintance
鮮やかな,vivid
先立つ,precede
浮かぶ,float
矛盾,contradiction
口伝えの,oral
機能,faculty
構成要素,component
つかむ,grab
抱擁する,embrace
苦い,bitter
郊外,suburb
性,gender
密集した,dense
主張する,assert
葬式,funeral
締め切り,deadline
見地,viewpoint
おおよそ,approximately
育てる,rear
論争,controversy
