適切な,appropriate
10年間,decade
衝突,conflict
地域,region
特徴,feature
知的な,intellectual
概念,concept
マスコミ,media
労働,labor
範囲,range
特定の,specific
文学,literature
潜在的な,potential
兵器,weapon
前後関係,context
細胞,cell
神話,myth
焦点,focus
遭遇する,encounter
遺伝子,gene
ものすごい,enormous
間違った,false
概念,notion
酸素,oxygen
影響,impact
攻撃的な,aggressive
討論する,debate
資本,capital
哲学,philosophy
炭素,carbon
暗に意味する,imply
脅迫する,threaten
大惨事,disaster
論争,dispute
現れる,emerge
報償,reward
同僚,colleague
文書,document
消費者,consumer
法的な,legal
軍の,military
広大な,vast
代わりの,alternative
犯す,commit
洞窟,cave
広がる,expand
用地,site
跡,trace
採用する,adopt
装置,device
化石,fossil
年１回の,annual
論理的な,logical
哺乳類,mammal
学問的な,academic
結合する,combine
乗り物,vehicle
生物,organism
厳しい,strict
天文学者,astronomer
外部の,external
解釈する,interpret
確実にする,ensure
事実上は,virtually
大臣,minister
太陽の,solar
分子,molecule
ウィルス,virus
兵士,soldier
直面する,confront
しつけ,discipline
制限する,restrict
不況,depression
会議,conference
発見する,detect
儀式,ritual
土壌,soil
領土,territory
組合,union
物質,substance
打つ,beat
暗号,code
正義,justice
言語学的,linguistic
不足,shortage
利用する権利,access
大会,convention
簡素な,plain
保つ,retain
種,seed
翻訳する,translate
深い,profound
市民の,civil
内科医,physician
機関,agency
内部の,internal
対処する,cope
帝国,empire
不可欠の,vital
最初の,initial
